,USERID,NPOSTS,NTOKENS,EXT,NEU,AGR,CON,OPN
0,b7b7764cfa1c523e4e93ab2a79a946c4,102,1775,0.4125,0.5,0.5375,0.5625,0.8500000000000001
1,318bf822d4f2bd3920367560218619c0,69,1021,0.875,0.75,0.5,0.875,0.6875
2,ecbddbfe00e0f83cfdb802a7186061c7,65,1137,0.825,0.2875,0.65,0.575,0.7749999999999999
3,4d035bd3fd8d9595d15cea9e388964be,40,373,0.675,0.475,0.6,0.5875,0.7625
4,172400f46880b309ca5e97d322bb8f01,73,1199,0.6125,0.4625,0.4499999999999999,0.425,0.7875000000000001
5,200255966ca6e2636535b5b93ac04497,37,591,0.5375,0.2249999999999999,0.7875000000000001,0.75,0.6375
6,5489ed38556af050d6a93e5d27b95dfb,10,148,0.7875000000000001,0.525,0.55,0.65,0.7
7,b9a44bb356832160caccc9eb3614e0ce,43,833,0.6625,0.5375,0.6125,0.3375,0.875
8,9a8cf1dcb2de1a8f70c4745a636bbb96,70,964,0.6875,0.5625,0.875,1.0,0.75
9,527ed53d2ba3a3bc417b8402d5b2f556,194,2744,0.5875,0.4375,0.4625,0.525,0.7875000000000001
10,751e53fc64b770f7b5ea2b0964678599,56,816,0.125,0.7,0.7875000000000001,0.5125,0.7375
11,c19a4fb5e846fb6575b0a8f3a2081ea0,72,519,0.5625,0.6875,0.1875,0.75,0.625
12,e6cdef6f475cce3023c5b715f8c9f110,221,2783,0.2,0.475,0.475,0.5,0.8
13,2badb47503a98766c89e266d1130969a,43,567,0.6375,0.3249999999999999,0.6625,0.9125,0.8999999999999999
14,1c10cc0852579d2fa000e3fc3327bb98,20,304,0.4,0.4125,0.275,0.3,0.625
15,0737e4e4980f56c9fb1cb5743001c917,172,2550,0.5875,0.3249999999999999,0.7749999999999999,0.35,0.875
16,a6336ec5e11839ae33aee01fa2163652,74,813,0.0875,0.9375,0.4625,0.8875,0.8500000000000001
17,3d7847b1c33b5f5811208b4aa1a7ffbd,101,1568,0.5375,0.65,0.6,0.3,0.8125
18,83aeafc166238ebf5aaa2530e6205341,25,303,0.3625,0.5375,0.5125,0.7749999999999999,0.8875
19,2ea1efd66ffc011621a4a74e06005e23,83,1983,0.7749999999999999,0.195,0.575,0.825,0.925
20,9b73d5a07c079cce614932e39e2f1852,82,1763,0.4125,0.4499999999999999,0.5875,0.6125,0.8374999999999999
21,d298a6d98000dc07bbb7994f71d867d3,53,883,0.825,0.1124999999999999,0.8500000000000001,0.35,0.8999999999999999
22,450c787001b004af69428e267c7a4ca1,69,1723,0.3249999999999999,0.625,0.875,0.4625,0.875
23,d7f1da35557607089ee2e3a707ce4a4a,36,383,0.875,0.4375,0.375,0.625,0.8125
24,4cac659f923d6f3b4605f38477a04458,76,1644,0.4499999999999999,0.5375,0.6625,0.6125,0.8374999999999999
25,c3f4b3e345cb6b032db2e0459d179db3,153,2120,0.3625,0.75,0.7,0.4499999999999999,0.8125
26,83b6e605652dbf6915856eea1ce419bd,17,161,0.375,0.25,0.5,0.8125,0.375
27,65266a09dc3d274bed54447cf4565392,22,290,0.475,0.4125,0.6125,0.6125,0.75
28,8f9d4ed5d16ed1a67d734196d29d1f6b,95,1219,0.8325,0.25,0.7925,0.6675,0.8500000000000001
29,692758eda219c4fdb6aa64e929be3ff0,80,1984,0.3874999999999999,0.4625,0.725,0.375,0.8500000000000001
30,526ac2635cb3f5e0ee5d7424e83e9107,92,975,0.3625,0.425,0.525,0.75,0.825
31,b2be41464b53ffc6deae9536ddfd3aee,159,2624,0.8,0.4,0.7375,0.5625,1.0
32,2d14a09b41a0d12b9e60377a0a8e14a8,11,235,0.1875,0.65,0.65,0.275,0.7125
33,a4fb2531183a186f2b5362ab89d885a2,50,809,0.25,0.4125,0.7375,0.4499999999999999,0.4125
34,370a8295df2f8b9069e75422c37d2639,11,182,0.75,0.1624999999999999,0.525,0.525,0.875
35,da56abb46f342d8e4b4bc96165cd645d,41,459,0.6,0.1699999999999999,0.8825000000000001,0.625,0.95
36,f2026b8cb48aff9af31577ecbfda5c38,123,1862,0.4375,0.375,0.75,0.5,0.9375
37,b8295738a9b021d82860887c3be41164,74,1778,0.75,0.5625,0.625,0.8125,1.0
38,dbdfbfda2a4205bd59b22758ceddd5af,125,2034,0.6875,0.2624999999999999,0.6375,0.7375,0.7
39,3b6a414b280222a29d0a95c473cf6b61,33,479,0.2624999999999999,0.1375,0.8875,0.7375,0.75
40,d3582916ef22700cebb70f5cdedc1da9,13,300,0.675,0.3,0.4875,0.6125,0.8500000000000001
41,810c70fdd8c82cb4e0afc1e8cc62759a,48,666,0.65,0.125,0.6125,0.475,0.8374999999999999
42,5299b573a6caaf4aebfb3cf6bc8acfd8,73,2701,0.925,0.1375,0.675,0.8500000000000001,0.975
43,b4a21c82de4011033c8ac67081ff939c,162,4024,0.8875,0.3,0.575,0.725,0.6625
44,f80644859abfbc92e9a92072c2dc50fa,59,862,0.275,0.5,0.725,0.7875000000000001,0.95
45,6f2bebc01062eb8334dccba3e048fdb5,219,2928,0.8,0.1375,0.9875,0.6,0.9125
46,4b8c9b247d45495cdb1ebf755fcec1f6,95,1436,0.6875,0.375,0.75,0.9375,0.875
47,bbe1ab61508fad201213fbe8090c5a75,20,190,0.875,0.4375,0.5625,0.4375,0.6875
48,7b061056ba902bf5a3f0f123fb181ad3,72,1029,0.675,0.3125,0.575,0.675,0.7625
49,8736d2c84c639dc57ef984602d8d96aa,67,1436,0.65,0.21,0.5375,0.5625,0.675
50,9f320ade181aa12bf10361871afa8d90,77,1739,0.2,0.5,0.3625,0.6875,0.4625
51,e2cc76f16ed40953e5c082ff5ef9a2e9,22,342,0.2,0.3125,0.4125,0.9375,0.95
52,e4a512374eee079d2b8acc2ce69990d5,126,1732,1.0,0.4375,0.875,0.5,0.8125
53,cce9e48f159ae910f38fb00810be2a68,39,660,0.1875,0.6875,0.375,0.125,0.625
54,a7637e86876374b952f4d10d0513c350,57,874,0.75,0.2925,0.9575,0.5425,1.0
55,dba5f5266d03dd6d4db084ad7dbc683c,102,1581,0.1375,0.3625,0.625,0.6,0.875
56,225c97c90103cc04cda7d10845f2733e,18,264,0.425,0.1124999999999999,0.7,0.8374999999999999,0.575
57,e4a9de8d77c21c3f704fdb0055cdde43,25,629,0.4875,0.5375,0.725,0.75,0.725
58,448084546d4ae45e47c3a83f338ade56,38,581,0.675,0.5375,0.825,0.6875,0.7125
59,acfd53e1393633ae24f8c946d79a17d4,93,2239,0.8625,0.375,0.5125,0.6625,0.725
60,12006962a8659cc890a5a66913494704,41,305,0.5,0.4375,0.75,0.5625,0.8325
61,d8b283c6d460cdc5cb95d65e1c0a71d4,29,431,0.4125,0.4375,0.9125,0.525,0.675
62,2a7471dcf8d1e9b91c89eb91fc2a140d,11,108,0.5625,0.5625,0.6875,0.8125,0.625
63,eb7f8081aa0bd4004f513d3299db9063,107,1873,0.4275,0.6425,0.535,0.66,0.6425
64,f7456ac4e6b20911c40fdad18908a8d2,150,3753,0.8125,0.1375,0.8625,0.8374999999999999,0.7
65,181962441153a36333f0c60701823412,114,1673,0.6,0.4499999999999999,0.5125,0.5125,0.8374999999999999
66,efd5faf19d608aed64447940801cbc30,36,712,0.7,0.2125,0.5875,0.5,0.9875
67,c6a9a43058c8cc8398ca6e97324c0fae,37,656,0.4375,0.6625,0.7125,0.525,0.7
68,8a302f01e209fc15fa8425f2d41f633a,36,1050,0.425,0.275,0.7125,0.6625,0.925
69,bf749347531c855f7bed0bd259b81557,44,803,0.5625,0.5325,0.8125,1.0,0.6575
70,69d136c8d8dc113c3aee4835e941798d,22,320,0.425,0.5125,0.1624999999999999,0.1375,0.6625
71,c8a62ce2aa837024b698e3eb72aa3c42,23,570,0.625,0.3249999999999999,0.7375,0.95,0.8875
72,259f8f9cce95b214dc9924af48bcd6f0,70,1376,0.575,0.4625,0.8,0.6,0.9375
73,c85845b82e705a32f674757d8912df23,93,2608,0.3125,0.4375,0.875,0.8125,0.375
74,d39c2b0fb2e50e37795fdbe3b8cd3792,113,1977,0.6875,0.25,1.0,0.8125,0.875
75,ce9e978af8369a85f4fc15137013015b,17,170,0.575,0.2249999999999999,0.6625,0.625,0.7625
76,1bd281623fa6ad208caa394dcad75c7d,24,241,0.275,0.425,0.6,0.2624999999999999,0.6625
77,933791b8623dadbb82664c60db91fb7e,84,1147,0.6875,0.3375,0.675,0.75,0.8
78,690d0ead7039eccdcaeb4d9f77b168b5,50,836,0.475,0.6875,0.5375,0.5875,0.9375
79,0bfa3d952ffed50f25011b128e73a820,141,2587,0.4499999999999999,0.15,0.6625,0.5625,0.7875000000000001
80,1ece40ac9b657dea8c22a1fe58d3a6fe,33,995,0.625,0.1875,0.9375,0.5,0.8125
81,ce1a957dabf068478d322a56c0dfaf41,44,439,0.6875,0.25,0.875,0.75,0.6875
82,82d3a5e0936ddbff93f6630365f80af5,85,1191,0.575,0.4499999999999999,0.5875,0.8125,0.625
83,ed9073376c5004080ba59ac69f2a1cc3,53,457,0.4375,0.4125,0.625,0.7749999999999999,0.7875000000000001
