,USERID,NPOSTS,NTOKENS,EXT,NEU,AGR,CON,OPN
0,02ae95de-7ee3-453a-978d-25d28b3f1a88,100,1955,0.7,0.3,0.6,0.6,1.0
1,03f72f70-7a00-4dbb-93b7-6c7f65954fc5,100,1929,0.7,0.3,0.6,0.6,1.0
2,0aa7bace-924c-40fb-a2e5-3c7012ede244,100,1128,0.6,0.2,0.8,0.7,0.9
3,0b66092a-440e-4755-a624-759a580a1c70,100,1242,0.7,0.3,0.6,0.8,0.6
4,1094e809-1306-4cd1-8ac1-ebfdf7c872b8,100,1745,0.7,0.3,0.9,0.9,1.0
5,11c285a3-599c-4fa4-a166-76cccd5b2478,100,1115,0.5,0.8,0.5,0.7,1.0
6,150bfac9-5906-45b8-aade-4cdca3935949,100,1485,0.7,0.0999999999999999,0.7,0.6,0.6
7,1661bc1b-1e6a-4c3d-a6b8-ee21f0730288,61,1023,0.5,0.3,0.7,0.9,0.9
8,16b423e5-3154-42ef-ad37-3f80858febf5,100,980,0.6,0.0999999999999999,0.6,0.5,0.9
9,17591594-b75c-47c2-be3e-5dcbe6c45286,100,1782,0.7,0.0999999999999999,0.7,0.5,0.7
10,18695d44-ddf4-4839-9b00-d87b93f2d4ec,100,1036,0.6,0.6,0.7,0.5,0.7
11,18fc8412-8068-4993-9382-f44d716f092e,100,979,0.8,0.6,0.7,0.9,0.7
12,1987bf4e-0f0e-4855-bc8f-bcab75ae8ee3,100,1158,0.5,0.6,0.6,0.4,0.6
13,19aa79e6-7ac8-497f-8db2-b86295e117ed,91,1001,0.7,0.6,0.4,1.0,0.6
14,1aa8c430-853b-4bbc-b784-df4c88264ccd,100,1333,0.7,0.8,0.7,0.8,0.7
15,1cd73ab3-e945-4334-ac09-7a1bf62559ab,100,1187,1.0,0.2,0.5,0.6,0.8
16,1d2a2248-1dbf-4e18-933d-42eeedb3ae7e,100,2056,0.3,0.8,0.4,0.5,1.0
17,1d59f39c-0b44-4d7e-93c6-a471844ff684,100,1630,0.9,0.0,0.7,0.7,0.7
18,1ed443b9-afda-47f8-a3cf-3341e174d9a3,100,1586,0.8,0.6,0.4,0.5,0.4
19,1f17c4c3-0942-4fe5-8e03-5ad9f6a514d1,100,1429,0.4,0.3,0.6,0.5,0.7
20,2298a7cc-0672-4f32-b2af-6ca358c20a7f,100,1336,0.9,0.2,0.7,0.9,1.0
21,23842323-5699-4551-9ff6-a684dee93a9a,86,429,0.5,0.6,0.6,0.8,0.9
