USER,POST,EXT,NEU,AGR,CON,OPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,TOKENS
b7b7764cfa1c523e4e93ab2a79a946c4,like the sound of thunder,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,06/19/09 03:21 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['like', 'the', 'sound', 'of', 'thunder']"
b7b7764cfa1c523e4e93ab2a79a946c4,be so sleepy it be not even funny that be she can not get to sleep,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,07/02/09 08:41 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'so', 'sleepy', 'it', 'be', 'not', 'even', 'funny', 'that', 'be', 'she', 'can', 'not', 'get', 'to', 'sleep']"
b7b7764cfa1c523e4e93ab2a79a946c4,be sore and want the knot of muscle at the base of her neck to stop hurt on the other hand yay I be in illinois 3,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,06/15/09 01:15 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'sore', 'and', 'want', 'the', 'knot', 'of', 'muscle', 'at', 'the', 'base', 'of', 'her', 'neck', 'to', 'stop', 'hurt', 'on', 'the', 'other', 'hand', 'yay', 'I', 'be', 'in', 'illinois', '3']"
b7b7764cfa1c523e4e93ab2a79a946c4,like how the day sound in this new song,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,06/22/09 04:48 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['like', 'how', 'the', 'day', 'sound', 'in', 'this', 'new', 'song']"
b7b7764cfa1c523e4e93ab2a79a946c4,be home 3,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,07/20/09 02:31 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'home', '3']"
b7b7764cfa1c523e4e93ab2a79a946c4,www thejokerblog com,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,07/16/09 03:21 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['www', 'thejokerblog', 'com']"
b7b7764cfa1c523e4e93ab2a79a946c4,see a nun zombie and like it also propname tentacle man psychic power great party,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,06/27/09 05:41 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['see', 'a', 'nun', 'zombie', 'and', 'like', 'it', 'also', 'propname', 'tentacle', 'man', 'psychic', 'power', 'great', 'party']"
b7b7764cfa1c523e4e93ab2a79a946c4,be in kentucky 421 mile into her 1100 mile journey home,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,07/18/09 06:34 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'in', 'kentucky', '421', 'mile', 'into', 'her', '1100', 'mile', 'journey', 'home']"
b7b7764cfa1c523e4e93ab2a79a946c4,be about to finish a digital painting before her tablet go haywire be now contemplate the many way she wish to exact her revenge on faulty technology,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,07/09/09 02:58 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'about', 'to', 'finish', 'a', 'digital', 'painting', 'before', 'her', 'tablet', 'go', 'haywire', 'be', 'now', 'contemplate', 'the', 'many', 'way', 'she', 'wish', 'to', 'exact', 'her', 'revenge', 'on', 'faulty', 'technology']"
b7b7764cfa1c523e4e93ab2a79a946c4,be celebrate her new haircut by listen to swinger music and generally look like a doofus,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,07/07/09 11:41 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'celebrate', 'her', 'new', 'haircut', 'by', 'listen', 'to', 'swinger', 'music', 'and', 'generally', 'look', 'like', 'a', 'doofus']"
b7b7764cfa1c523e4e93ab2a79a946c4,have a crush on the green lantern,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,07/15/09 07:48 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['have', 'a', 'crush', 'on', 'the', 'green', 'lantern']"
b7b7764cfa1c523e4e93ab2a79a946c4,have magic on the brain,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,08/05/09 04:27 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['have', 'magic', 'on', 'the', 'brain']"
b7b7764cfa1c523e4e93ab2a79a946c4,see transformer up and year one this week good movie overload d,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,06/25/09 04:36 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['see', 'transformer', 'up', 'and', 'year', 'one', 'this', 'week', 'good', 'movie', 'overload', 'd']"
b7b7764cfa1c523e4e93ab2a79a946c4,who want to meet up on schedule pick up day at oviedo,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,08/11/09 03:38 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['who', 'want', 'to', 'meet', 'up', 'on', 'schedule', 'pick', 'up', 'day', 'at', 'oviedo']"
b7b7764cfa1c523e4e93ab2a79a946c4,desire the thrill of inspiration also money,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,08/07/09 09:35 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['desire', 'the', 'thrill', 'of', 'inspiration', 'also', 'money']"
b7b7764cfa1c523e4e93ab2a79a946c4,be go to bed at 9 30 yeah,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,08/18/09 01:29 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'go', 'to', 'bed', 'at', '9', '30', 'yeah']"
b7b7764cfa1c523e4e93ab2a79a946c4,be read admire her permit and occasionally glance at her ner mcdonald s uniform,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,08/21/09 10:18 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'read', 'admire', 'her', 'permit', 'and', 'occasionally', 'glance', 'at', 'her', 'ner', 'mcdonald', 's', 'uniform']"
b7b7764cfa1c523e4e93ab2a79a946c4,think intangibility should be an option in reality setting,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,08/31/09 02:27 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['think', 'intangibility', 'should', 'be', 'an', 'option', 'in', 'reality', 'setting']"
b7b7764cfa1c523e4e93ab2a79a946c4,be tired propname let I go to sleep pl0x,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,07/11/09 05:44 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'tired', 'propname', 'let', 'I', 'go', 'to', 'sleep', 'pl0x']"
b7b7764cfa1c523e4e93ab2a79a946c4,be discover the many flavor of insomnia,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,07/27/09 06:59 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'discover', 'the', 'many', 'flavor', 'of', 'insomnia']"
b7b7764cfa1c523e4e93ab2a79a946c4,be watch cousin play computer game on televison box thing also sleepy,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,06/16/09 04:52 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'watch', 'cousin', 'play', 'computer', 'game', 'on', 'televison', 'box', 'thing', 'also', 'sleepy']"
b7b7764cfa1c523e4e93ab2a79a946c4,why be it I be only get the urge to draw when I have stuff to do for school d,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,08/26/09 12:16 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['why', 'be', 'it', 'I', 'be', 'only', 'get', 'the', 'urge', 'to', 'draw', 'when', 'I', 'have', 'stuff', 'to', 'do', 'for', 'school', 'd']"
b7b7764cfa1c523e4e93ab2a79a946c4,who da think a single text message could be enough to change my mind,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,08/30/09 03:39 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['who', 'da', 'think', 'a', 'single', 'text', 'message', 'could', 'be', 'enough', 'to', 'change', 'my', 'mind']"
b7b7764cfa1c523e4e93ab2a79a946c4,wish to develop a super power that prevent she from need to sleep,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,09/01/09 02:05 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['wish', 'to', 'develop', 'a', 'super', 'power', 'that', 'prevent', 'she', 'from', 'need', 'to', 'sleep']"
b7b7764cfa1c523e4e93ab2a79a946c4,tell I what to draw plox,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,08/02/09 09:14 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['tell', 'I', 'what', 'to', 'draw', 'plox']"
b7b7764cfa1c523e4e93ab2a79a946c4,find a bunny bunny die bury bunny now be draw,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,07/26/09 07:53 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['find', 'a', 'bunny', 'bunny', 'die', 'bury', 'bunny', 'now', 'be', 'draw']"
b7b7764cfa1c523e4e93ab2a79a946c4,3,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,09/08/09 11:00 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,['3']
b7b7764cfa1c523e4e93ab2a79a946c4,be just about insane by now,0.4125,0.5,0.5375,0.5625,0.8500000000000001,n,y,n,n,y,09/08/09 09:46 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1,"['be', 'just', 'about', 'insane', 'by', 'now']"
