trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.11515497273868983,0.15615882772166714,0.15099788088940458,0.18245597685368153,0.3648057123282873,0.532642921222419
OPN,1,0.11017337454689873,0.16607126265156028,0.1436778427361943,0.20156626198401986,0.3302931659542735,0.6500633042332935
OPN,2,0.10234170767996048,0.13637518623248251,0.13496966883853934,0.15722432371789594,0.2914689676964741,0.395511783379636
OPN,3,0.10272465705871582,0.1432003580388569,0.1510563445013703,0.16749773570359625,0.3650883338299075,0.4488878686807618
OPN,4,0.12078172629220145,0.143792784132925,0.14363172382160144,0.16382109095647043,0.33008115336086985,0.4293975918708647
CON,0,0.14223144170310761,0.1422983867578766,0.16838315529723835,0.17655190971322612,0.453646192637269,0.4987292276857614
CON,1,0.14692046542962392,0.154637467050228,0.19150159012218693,0.18815784178888162,0.5867657837484817,0.5664539724708636
CON,2,0.11398359931177564,0.17552915876414502,0.14287360578299796,0.21518408748251594,0.3266058737018801,0.7408670661534689
CON,3,0.18874868665422714,0.1268133783421549,0.24292451219598915,0.16078674671684873,0.9441970980105485,0.413638046716609
CON,4,0.13088780478068762,0.16485035086975613,0.1635648632794398,0.20435153570145995,0.42805543690349573,0.6681528000060065
EXT,0,0.1923168947299322,0.15712863004126518,0.23323628516528988,0.20214667716800228,0.870386618893904,0.6538124663305792
EXT,1,0.17428819696108502,0.1870420280767947,0.2079339256303949,0.23222289790154255,0.691784271992707,0.8628395737040497
EXT,2,0.21466523266500898,0.19077585282779874,0.25166919289459727,0.2368416580505785,1.0133981285533367,0.8975035484832901
EXT,3,0.13333266053880966,0.156052176319823,0.17140324483206093,0.19947430603799216,0.4700651574233507,0.6366399802285202
EXT,4,0.16667908423287528,0.13705316441399712,0.2058111858581979,0.1757568059840352,0.677731907589723,0.4942472764543019
AGR,0,0.11319119413693746,0.125707303869481,0.1435546937270849,0.16517309031151348,0.32972720145723433,0.4365143962088861
AGR,1,0.09985556834273869,0.1218937105873004,0.13879910130006634,0.16158814648430422,0.3082430483472972,0.4177716649959521
AGR,2,0.11079229460822214,0.13958715863373816,0.14242491089594678,0.186286837869538,0.324557689456884,0.5552445884392627
AGR,3,0.12699753631864277,0.12458769001928313,0.1591714009902319,0.1634246723960655,0.40536855829109114,0.4273219767641813
AGR,4,0.15676175022125244,0.12227566473338067,0.18656888071574468,0.16136952051645698,0.5569271560244122,0.41664195230380585
NEU,0,0.17316538459724853,0.2223227383733607,0.22519206706186393,0.26295563889926926,0.811383426771592,1.106330683781805
NEU,1,0.13189922127458784,0.2001968146181431,0.1715532040418234,0.23666410128255863,0.47088803741396756,0.8961583514905357
NEU,2,0.15877558080686466,0.19411646880868344,0.19421774083402848,0.229498677782391,0.6035284799968231,0.8427142925954492
NEU,3,0.14441921397617888,0.2053785321663837,0.17632277919335043,0.23982003835268018,0.49743554841958226,0.9202184114307704
NEU,4,0.14272415702683583,0.2160468065211562,0.17834580328134778,0.2521585300232905,0.5089156036035626,1.0173428121627035
