trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.13048608337895254,0.10161279399516221,0.16242491604373596,0.12298764924229494,0.42210964082119184,0.24201539767842925
OPN,1,0.13674157552504806,0.10537963701506795,0.16793346494518874,0.13952951724281917,0.4512263650837418,0.31149578977209635
OPN,2,0.1293296973758869,0.11466923992512593,0.16319845840819297,0.1366939036422915,0.42613978978368894,0.2989635757905023
OPN,3,0.1433528228824058,0.1110559109914101,0.17397423670529813,0.13917567170778558,0.48427255383764756,0.3099179025946057
OPN,4,0.15256843056571617,0.11657888169946344,0.18274651417596238,0.14119332755266212,0.534340616146272,0.318968900146533
CON,0,0.15046202186118351,0.10545145071158976,0.19477631576351195,0.13432338804489666,0.6070050175969394,0.28868434382206626
CON,1,0.15782795130536798,0.11238256228172173,0.19580915172337254,0.13860110439401555,0.6134595861313018,0.3073642609720811
CON,2,0.14819213277838206,0.11046454593286675,0.19019744259320365,0.14085050460124734,0.5788010798277752,0.3174218363969752
CON,3,0.14850392734066825,0.11913416284625813,0.1891069550427311,0.15265586091424788,0.572183047850679,0.37286097957608927
CON,4,0.16174211173914793,0.10581990829829514,0.20244673754325274,0.13413235734956405,0.6557549112058821,0.2878638260341735
EXT,0,0.1802185093954708,0.11988150083412559,0.21895394466832,0.1497647793640979,0.7670532784780569,0.358871810378556
EXT,1,0.1809642294350635,0.11168379783630372,0.22182324899340652,0.14532500820865174,0.7872888595356564,0.3379097183128249
EXT,2,0.1853523333286971,0.12498316512269489,0.2225764724652284,0.1594008203587105,0.7926445816723194,0.40653795152207567
EXT,3,0.18245404987522726,0.11089797898874444,0.22064815576844263,0.14489056186511348,0.7789697388976553,0.3358923924041363
EXT,4,0.1742471135265372,0.13581240588221055,0.21596825228147118,0.17000921610692113,0.7462765752759737,0.46245013415975256
AGR,0,0.14615976519798968,0.1153832184056104,0.18595577274225,0.1573205867344991,0.5532727962569981,0.3959962733822158
AGR,1,0.13573441983608717,0.1153747991990235,0.1692389136299557,0.1564831284371479,0.4582689600367994,0.3917915084540737
AGR,2,0.1444952089933867,0.11542960799346536,0.17844406586695746,0.15028741629754033,0.509476553210763,0.361380923819086
AGR,3,0.13117625013496098,0.12156889044632345,0.16772732234922913,0.15919673716455948,0.4501192713193269,0.4054976138793276
AGR,4,0.14958391438709218,0.1125194024423073,0.18324494236758607,0.14248625413914182,0.5372593459980992,0.3248373297882176
NEU,0,0.16978863263063218,0.20600595474243166,0.20963593357988144,0.2450734711662028,0.7031555954936928,0.9609760928083743
NEU,1,0.17863111487265387,0.19893476961780404,0.21596779343950917,0.2335954019526742,0.7462734144554963,0.8730690036859684
NEU,2,0.1910864043738065,0.14500182144722695,0.2274691904793423,0.18495615718957542,0.8278757174038487,0.5473404804373859
NEU,3,0.1967789773190959,0.18058947267294942,0.2415845442741186,0.22056838688628924,0.9338094779133214,0.7784065919179501
NEU,4,0.19269495317272928,0.16093986602178936,0.23951974060883913,0.20758898826081162,0.9179152846051276,0.6894910110820236
