trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.16303583141123312,0.09437922057458911,0.19171420279842863,0.11393560550303299,0.5880693728007905,0.20770117246440495
OPN,1,0.23208969489911968,0.12460043107048942,0.26336563426152326,0.14568541232962373,1.1097833157735393,0.33958783454967717
OPN,2,0.16094519896453685,0.11053093247494457,0.19073611174196933,0.1288636499296166,0.5820842268304333,0.2656934477329229
OPN,3,0.18563735076550686,0.12830861342155328,0.21450642559817115,0.1501854209848033,0.7362081050741252,0.36089059186908395
OPN,4,0.15642601705669018,0.12229141634086085,0.185401906801215,0.14725102588672737,0.5499818727533408,0.34692584366595836
CON,0,0.14876786896352018,0.109818881649082,0.1902810305623224,0.1380713603599084,0.5793099273675079,0.3050192068962284
CON,1,0.15018071362141813,0.12233860371476515,0.18902521755753027,0.14708529626375633,0.5716885285843745,0.3461453529107808
CON,2,0.1562500709964988,0.10023409451468517,0.1967146765036746,0.12951648185469708,0.6191466171684763,0.26839230515228923
CON,3,0.16006119490339515,0.12029194185289287,0.20201318831937334,0.15000146548847615,0.6529492505580877,0.3600070343790481
CON,4,0.17805988986170693,0.12574490092951676,0.22194387889513456,0.15476063071414067,0.7881453808415516,0.38321364884352405
EXT,0,0.17743669981367133,0.11849466622886011,0.21688131050506662,0.15275202214105013,0.7526000430406877,0.3733308842908778
EXT,1,0.1818885049659215,0.12070302054033441,0.2218655453324779,0.15831407560194846,0.7875891236897609,0.4010135512795402
EXT,2,0.17968669291292685,0.1190368894803322,0.21993000267030907,0.15928218640120903,0.7739072888930163,0.40593303847599194
EXT,3,0.17592326474993417,0.10115342827166543,0.21462287855863316,0.1337322375051452,0.7370076800127008,0.286148981570121
EXT,4,0.1777248931265949,0.13163927762672817,0.21893806555295048,0.17114827343171382,0.7669420263635475,0.4686677009391636
AGR,0,0.14298023475689836,0.13012324349354887,0.1734807632084483,0.16580814306014244,0.48152920325417137,0.43987744488084246
AGR,1,0.18844513943356078,0.13875058717646838,0.22429756925869945,0.18011641331296624,0.8049504033239543,0.5190707641376366
AGR,2,0.14193129560920628,0.10785907991861891,0.17515160241295602,0.14473774387600016,0.49084934124521956,0.33518423203703396
AGR,3,0.14026919149280934,0.10437606047775784,0.17019485988723382,0.14334894993863156,0.46346064689351685,0.32878274871950197
AGR,4,0.17297138966871115,0.11699929185982406,0.20655315908158325,0.15286649600023636,0.6826273069959453,0.3738906497459206
NEU,0,0.16632405761922345,0.18034813047970757,0.20312472537670015,0.2087666746752834,0.6601544558059227,0.6973363750060659
NEU,1,0.1745055503054951,0.15911858525064032,0.216394786141733,0.19777363396641787,0.7492272407590651,0.6258305637214879
NEU,2,0.17686522589305814,0.13918157762895197,0.21892612721988353,0.17343679083859187,0.7668583813574575,0.48128512245315064
NEU,3,0.1799151027269578,0.1622997742714518,0.22318789093227445,0.1980545644343481,0.7970053585632654,0.6276097751719891
NEU,4,0.18563755956593522,0.15891262236340295,0.23500169341165722,0.19019609845486046,0.8836127379465758,0.5787928934462606
